X,Y,Z,Bx,By,Bz
-10.0,-9.0,-6.5,-6.0480376498777035,-7.460782168529722,4.509657625038714
-10.0,-9.0,-6.0,-5.877696970875928,-7.392896542258897,5.3140097742942425
-10.0,-9.0,-5.5,-5.626345698464016,-7.250159704263323,6.143586461254788
-10.0,-9.0,-5.0,-5.287699401767361,-7.025879007564239,6.985206671587708
-10.0,-9.0,-4.5,-4.857154140421912,-6.714808545891425,7.823267312050254
-10.0,-9.0,-4.0,-4.3323008191433505,-6.31363781715402,8.640037826050632
-10.0,-9.0,-3.5,-3.7134114310228368,-5.821458711686248,9.416156675331065
-10.0,-9.0,-3.0,-3.003805168874187,-5.240140209937029,10.131296024790334
-10.0,-9.0,-2.5,-2.210153712966134,-4.574632954863622,10.765054398527624
-10.0,-9.0,-2.0,-1.3425328719675014,-3.833063047032878,11.29793292099825
-10.0,-9.0,-1.5,-0.41429450843614973,-3.0266556848104167,11.712396987195245
-10.0,-9.0,-1.0,0.5583015685684429,-2.1694396519026578,11.993912414630405
-10.0,-9.0,-0.5,1.556681981301913,-1.2777410713143218,12.131865576901278
-10.0,-9.0,0.0,2.5607479251191085,-0.3694933041448196,12.120276026460163
-10.0,-9.0,0.5,3.5498004191998667,0.5365876875603759,11.958225994012018
-10.0,-9.0,1.0,4.503527762520123,1.4218958412555882,11.649958608066
-10.0,-9.0,1.5,5.402971320809488,2.268819577765926,11.20463192547987
-10.0,-9.0,2.0,6.231387845635871,3.0615435578137347,10.635753405742095
-10.0,-9.0,2.5,6.974939347780269,3.786703408706617,9.960353261840504
-10.0,-9.0,3.0,7.623162805887594,4.433847791177841,9.197979937185671
-10.0,-9.0,3.5,8.169197935710663,4.995685289515156,8.369613455623565
-10.0,-9.0,4.0,8.609779765815718,5.4681122979126355,7.496601061476532
-10.0,-9.0,4.5,8.94501128093245,5.850076878321473,6.599641871220015
-10.0,-9.0,5.0,9.177987038715008,6.143227832527494,5.698022721857321
-10.0,-9.0,5.5,9.314288336659214,6.351520931467431,4.80895782922705
-10.0,-9.0,6.0,9.361424652741043,6.48072955598321,3.947182822425989
-10.0,-9.0,6.5,9.32826346006794,6.53794663632359,3.1247414458257605
-10.0,-9.0,7.0,9.224489599491038,6.531106991573084,2.3509501028639193
-10.0,-9.0,7.5,9.060123380463878,6.468557063505244,1.6325068356816939
-10.0,-9.0,8.0,8.845115306750376,6.358689081787362,0.9737072335305357
-10.0,-9.0,8.5,8.589025181041952,6.209647638258748,0.37673032077781426
-10.0,-9.0,9.0,8.300785151468933,6.029109251383367,-0.15803866778234954
-10.0,-9.0,9.5,7.988540344182761,5.824130085247952,-0.6316759358747576
-10.0,-9.0,10.0,7.659557017705361,5.601053521662397,-1.0463979891785906
-10.0,-8.5,-10.0,-6.180025107506341,-6.737922830947663,-0.0691037294656688
-10.0,-8.5,-9.5,-6.393153804083576,-7.002890032149085,0.4037505797101202
-10.0,-8.5,-9.0,-6.580077948019632,-7.248606028452145,0.9375603001168673
-10.0,-8.5,-8.5,-6.732929386505509,-7.468035347222296,1.5340850581643417
-10.0,-8.5,-8.0,-6.8430034695922,-7.653326605099591,2.193760140770209
-10.0,-8.5,-7.5,-6.900886831740278,-7.79591141883447,2.9153384936805615
-10.0,-8.5,-7.0,-6.896663242846783,-7.886672006677089,3.69552186395892
-10.0,-8.5,-6.5,-6.82020846715742,-7.916187883872987,4.528605637760841
-10.0,-8.5,-6.0,-6.661580415300714,-7.875068189412534,5.406169791354953
-10.0,-8.5,-5.5,-6.411503498057493,-7.754369908912533,6.316855397377209
-10.0,-8.5,-5.0,-6.061935910586851,-7.546093476746888,7.246270828357858
-10.0,-8.5,-4.5,-5.606704065225911,-7.243743384671608,8.177074660797606
-10.0,-8.5,-4.0,-5.042118643463301,-6.842878588851558,9.089264050579233
-10.0,-8.5,-3.5,-4.3676387832251065,-6.341718861104901,9.960716072319237
